jogador,nacao,posicao,idade,minPor90,gols,assist
Juan Pablo, BRA,"LT,ZG",20,1.4,0,0
Heitor, BRA,ZG,21,3.5,0,0
Fred, BRA,AT,38,1.4,1,0
Fernando Miguel, BRA,G,37,2.0,0,0
Marcos Paulo, BRA,ZG,19,0.3,0,0
Andrés Colorado, COL,LT,23,2.0,0,0
Benjamín Kuscevic, CHI,ZG,26,1.1,0,1
Rwan, BRA,"LT,AT",21,4.1,2,0
Henrique Lordelo, BRA,LT,22,1.0,0,0
Johnny Cardoso, USA,LT,20,3.4,1,1
Felipe Melo, BRA,"ZG,LT",39,2.6,0,0
Vitor Ricardo, BRA,LT,22,1.3,0,0
Daniel Cabral, BRA,LT,20,17.0,20,19
Nikão, BRA,"LT,AT",29,2.2,1,0
Eduard Atuesta, COL,LT,25,2.0,0,0
Carlos Sánchez, URU,LT,37,1.6,0,0
Renato Junior, BRA,AT,20,2.1,0,1
Kaique Rocha, BRA,ZG,21,3.2,0,0
John Kennedy, BRA,AT,20,1.3,0,0
Renato Kayser, BRA,"AT,LT",26,1.8,0,0
Cleiton, BRA,ZG,19,17.0,16,8
César Reis, BRA,G,27,17.0,0,0
Talles Costa, BRA,LT,19,2.1,0,0
García, BRA,ZG,20,1.0,0,0
Bruno Oliveira, BRA,LT,24,3.0,0,1
Luan Dias, BRA,AT,24,1.4,0,0
Liziero, BRA,"LT,ZG",24,2.7,0,0
Alexandre Jesus, BRA,AT,20,0.6,0,0
Valentín Depietri, ARG,LT,21,1.4,0,0
Jadson, BRA,LT,28,15.4,1,0
Anderson Lima, BRA,LT,22,1.8,0,0
Fabinho, BRA,LT,20,0.8,0,0
Willian Maranhão, BRA,LT,26,1.8,0,0
Matheus Santos, BRA,LT,23,0.1,0,0
Thauan Lara, BRA,"LT,ZG",18,1.8,0,0
David Duarte, BRA,ZG,27,0.4,0,0
Igor Torres, BRA,AT,22,0.1,0,0
Rafael Forster, BRA,ZG,31,15.1,0,0
Luan, BRA,LT,23,1.0,0,0
Kaiky Naves, BRA,LT,20,0.4,0,0
Luis Felipe, BRA,ZG,28,1.0,0,0
Pedro Oliveira, BRA,LT,18,1.5,0,0
Caio Vidal, BRA,LT,21,1.7,0,0
Muriel Becker, BRA,G,35,17.0,23,22
David, BRA,AT,22,0.0,0,0
Rodrigo Alves Soares, BRA,ZG,29,13.2,1,0
Emiliano Rigoni, ARG,LT,29,2.7,0,0
Jailson Siqueira, BRA,LT,26,0.2,0,0
John, BRA,G,26,1.0,0,0
Luan, BRA,"AT,LT",31,0.5,0,0
Keiller, BRA,G,25,1.0,0,0
Marcos Felipe, BRA,G,26,17.0,16,9
Alix, BRA,ZG,22,17.0,15,12
Chico, BRA,LT,31,11.2,0,2
Luizão, BRA,ZG,20,1.6,0,0
Giovani, BRA,AT,18,0.2,0,0
Kaiky, BRA,ZG,18,1.0,0,0
Luis Silva, BRA,AT,21,0.4,0,0
Matheus Cadorini, BRA,AT,19,1.0,0,0
